,"The percentage of Thai students with reading proficiency at each level of the Programme for International Student Assessment (PISA), categorized by school groups, from PISA 2000 to PISA 2022.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Group,School Type,PISA 2022,,,,,,,,,PISA 2018,,,,,,,,,PISA 2015,,,,,,,,PISA 2012,,,,,,,,PISA 2009,,,,,,,,PISA 2006,,,,,,PISA 2003,,,,,,PISA 2000,,,,,
,,,"Below Level 1c 
(less than 
189.33 points)",Level 1c (189.33 – 262.04  points),Level 1b (262.04 – 334.75  points),Level 1a (334.75 – 407.47  points),Level 2 (407.47 – 480.18 points),Level 3 (480.18 – 552.89 points),Level 4 (552.89 – 625.61 points),Level 5 (625.61 – 698.32 points),"Level 6 
(more than 698.32 points)","Below Level 1c 
(less than 
189.33 points)",Level 1c (189.33 – 262.04  points),Level 1b (262.04 – 334.75  points),Level 1a (334.75 – 407.47  points),Level 2 (407.47 – 480.18 points),Level 3 (480.18 – 552.89 points),Level 4 (552.89 – 625.61 points),Level 5 (625.61 – 698.32 points),"Level 6 
(more than 698.32 points)","Below level 1b 
(less than 
262.04 
points)",Level 1b (262.04 – 334.75  points),Level 1a (334.75 – 407.47  points),Level 2 (407.47 – 480.18 points),Level 3 (480.18 – 552.89 points),Level 4 (552.89 – 625.61 points),Level 5 (625.61 – 698.32 points),"Level 6 
(more than 698.32 points)","Below level 1b 
(less than 
262.04 
points)",Level 1b (262.04 – 334.75  points),Level 1a (334.75 – 407.47  points),Level 2 (407.47 – 480.18 points),Level 3 (480.18 – 552.89 points),Level 4 (552.89 – 625.61 points),Level 5 (625.61 – 698.32 points),"Level 6 
(more than 698.32 points)","Below level 1b 
(less than 
262.04 
points)",Level 1b (262.04 – 334.75  points),Level 1a (334.75 – 407.47  points),Level 2 (407.47 – 480.18 points),Level 3 (480.18 – 552.89 points),Level 4 (552.89 – 625.61 points),Level 5 (625.61 – 698.32 points),"Level 6 
(more than 698.32 points)","Below level 1 
(less than 
334.75 
points)",Level 1 (334.75 – 407.47  points),Level 2 (407.47 – 480.18 points),Level 3 (480.18 – 552.89 points),Level 4 (552.89 – 625.61 points),"Level 5 
(มากกว่า 625.61 points)","Below level 1 
(less than 
334.75 
points)",Level 1 (334.75 – 407.47  points),Level 2 (407.47 – 480.18 points),Level 3 (480.18 – 552.89 points),Level 4 (552.89 – 625.61 points),"Level 5 
(มากกว่า 625.61 points)","Below level 1 
(less than 
334.75 
points)",Level 1 (334.75 – 407.47  points),Level 2 (407.47 – 480.18 points),Level 3 (480.18 – 552.89 points),Level 4 (552.89 – 625.61 points),"Level 5 
(มากกว่า 625.61 points)"
,1,"""Opportunity expansion schools"" under the Office of the Basic Education Commission (OBEC).",0.5,8.8,35.6,35.4,16.1,3.5,0.1,-,-,0.07,6.1,29.6,43.6,16.9,3.3,0.5,-,-,4.8,22.5,40.6,26.4,5.2,0.4,-,-,2.7,9.5,27.2,37.9,19.7,3.1,-,-,2.3,18.9,46.9,27.6,4.0,0.2,-,-,37.6,37.4,20.5,4.4,0.1,-,24.2,39.5,28.3,7.8,0.2,-,14.9,31.4,36.7,14.9,2.0,0.1
,2,Schools offering secondary education under the Office of the Basic Education Commission (OBEC).,0.4,4.7,20.2,33.0,26.8,11.7,3.0,0.2,-,0.05,2.3,15.2,33.0,30.8,15.3,3.3,0.2,0.001,1.5,10.6,28.6,34.9,19.2,4.7,0.4,0.004,0.5,4.3,18.5,37.0,29.3,9.3,1.0,0.1,0.8,6.9,26.5,39.3,21.7,4.5,0.4,-,11.2,26.4,35.9,21.0,5.2,0.3,11.2,28.7,35.5,19.1,5.0,0.6,8.4,24.4,36.2,24.2,6.1,0.7
,3,Schools under the Office of the Private Education Commission (OPEC).,0.9,7.1,25.7,35.3,23.2,7.3,0.7,0.03,-,0.06,2.8,17.8,30.0,26.3,16.9,5.7,0.5,-,4.5,18.4,32.1,26.2,14.0,4.5,0.5,-,0.9,8.3,26.0,36.4,21.9,5.5,1.0,-,1.4,12.0,28.2,31.5,20.4,6.1,0.5,-,15.4,27.4,28.5,20.3,7.9,0.6,10.9,22.1,34.2,25.7,6.3,0.8,9.4,18.9,33.1,27.6,10.3,0.8
,4,Schools under the Bangkok Metropolitan Administration (BMA) Education Office.,0.13,5.1,22.9,39.2,24.8,7.3,0.6,-,-,0.01,4.0,28.6,39.9,21.2,5.7,0.6,0.1,-,4.5,23.6,38.7,26.0,6.9,0.4,-,-,1.2,11.9,39.3,34.6,11.0,2.1,-,-,1.1,11.0,38.2,33.9,13.6,2.2,-,-,34.2,36.4,22.3,6.2,1.0,-,7.2,28.2,58.9,5.8,-,-,1.8,26.1,40.7,28.0,3.5,-
,5,"Schools under the Department of Local Administration, Ministry of Interior.",0.3,5.5,30.0,39.1,21.0,4.1,0.1,-,-,0.07,3.6,25.0,42.5,23.2,5.0,0.6,0.1,-,5.3,22.0,38.6,25.5,7.5,1.0,0.04,-,0.7,9.2,30.7,36.4,20.2,2.9,0.04,-,1.3,13.3,36.1,38.6,10.3,0.4,-,-,13.5,33.7,38.6,13.2,0.9,0.1,25.7,31.6,30.7,10.4,1.7,-,4.8,27.3,39.3,26.4,2.1,-
,6,"Demonstration schools of universities under the Ministry of Higher Education, Science, Research, and Innovation.",0.01,0.7,4.1,14.7,30.9,35.4,13.0,1.2,0.02,-,0.2,2.2,8.0,31.2,40.2,16.4,2.0,0.01,0.2,2.2,10.1,27.9,38.0,19.1,2.6,-,-,1.0,3.8,18.8,40.1,29.6,6.5,0.3,-,0.2,3.8,19.8,43.1,27.5,5.4,0.2,0.2,4.2,22.1,41.1,28.2,4.2,1.9,10.6,21.5,30.4,28.2,7.4,0.7,1.2,13.2,34.5,39.8,10.6
,7,Vocational schools under the Office of the Private Education Commission (OPEC).,,,,,,,,,,,,,,,,,,,3.9,23.6,42.8,26.0,3.8,-,-,-,4.0,20.5,38.3,30.4,6.6,0.3,-,-,1.1,9.4,41.8,39.0,8.1,0.6,-,-,14.7,34.8,38.8,10.8,0.9,-,15.3,34.8,40.7,8.4,0.9,-,14.4,34.4,38.6,11.9,0.7,-
,8,Educational institutions under the Office of the Vocational Education Commission (OVEC).,0.5,7.8,34.0,38.6,16.6,2.5,0.1,-,-,0.18,6.6,32.4,40.9,17.2,2.5,0.08,-,-,6.0,25.5,39.9,23.0,5.1,0.6,-,-,2.3,15.0,38.5,34.8,9.0,0.5,-,-,2.6,14.8,40.0,34.9,7.6,0.1,-,-,20.9,36.5,32.0,9.8,0.7,-,17.0,39.4,33.0,9.6,1.1,-,4.4,18.0,50.7,23.3,3.7,-
,9,Schools specializing in science and mathematics education.,-,-,0.3,1.7,16.9,44.7,32.2,4.3,0.01,-,-,0.04,1.1,12.5,41.7,37.8,6.8,0.06,-,0.04,1.2,12.9,47.1,34.2,4.5,0.1,-,0.1,0.6,8.9,38.4,42.8,8.9,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,
,Average of Thailand,,0.4,5.8,24.6,34.6,23.5,8.9,2.0,0.2,0.0002,0.08,3.6,20.6,35.3,26.0,11.6,2.7,0.2,0.001,2.8,15.1,32.1,31.1,15.0,3.7,0.3,0.003,1.2,7.7,24.1,36.0,23.5,6.7,0.8,0.1,1.2,9.9,31.7,36.8,16.7,3.3,0.3,0.003,15.6,29.0,33.4,17.4,4.2,0.3,13.5,30.5,34.3,17.0,4.1,0.5,10.4,26.6,36.8,20.8,4.8,0.5